# M nu b b_e b_emu pd pd_e box snap
2.706170e+14 2.987002e+00 4.865915e+00 3.709121e-02 4.891404e+00 -5.211047e-03 7.582936e-03 6 5
3.550842e+14 3.190010e+00 5.496090e+00 5.587943e-02 5.452380e+00 8.016709e-03 1.024863e-02 6 5
4.765720e+14 3.432040e+00 6.112515e+00 8.262440e-02 6.151159e+00 -6.282421e-03 1.343233e-02 6 5
6.556112e+14 3.723723e+00 6.863322e+00 1.475160e-01 7.031176e+00 -2.387280e-02 2.098028e-02 6 5
1.003792e+15 4.168406e+00 8.260937e+00 2.803083e-01 8.376571e+00 -1.380440e-02 3.346337e-02 6 5
5.661840e+13 1.952383e+00 2.420273e+00 1.971137e-02 2.379916e+00 1.695740e-02 8.282384e-03 6 6
6.106101e+13 1.983274e+00 2.462997e+00 9.416897e-03 2.479124e+00 -6.504738e-03 3.798478e-03 6 6
6.981602e+13 2.039815e+00 2.596784e+00 9.917060e-03 2.593533e+00 1.253311e-03 3.823764e-03 6 6
8.066467e+13 2.103379e+00 2.716365e+00 1.085963e-02 2.726105e+00 -3.572689e-03 3.983570e-03 6 6
9.423055e+13 2.174986e+00 2.870247e+00 1.142917e-02 2.880520e+00 -3.566447e-03 3.967743e-03 6 6
1.116464e+14 2.257124e+00 3.045082e+00 1.356661e-02 3.061395e+00 -5.328580e-03 4.431512e-03 6 6
1.342790e+14 2.351600e+00 3.275772e+00 1.461893e-02 3.274560e+00 3.698282e-04 4.464393e-03 6 6
1.639439e+14 2.460160e+00 3.532083e+00 1.785879e-02 3.527476e+00 1.306240e-03 5.062767e-03 6 6
2.037409e+14 2.586528e+00 3.795469e+00 2.075618e-02 3.829751e+00 -8.951479e-03 5.419721e-03 6 6
2.576018e+14 2.733334e+00 4.216382e+00 2.631094e-02 4.193882e+00 5.365014e-03 6.273648e-03 6 6
3.331825e+14 2.908013e+00 4.624006e+00 3.378268e-02 4.636309e+00 -2.653612e-03 7.286546e-03 6 6
4.392321e+14 3.113295e+00 5.147027e+00 4.903596e-02 5.178840e+00 -6.142862e-03 9.468521e-03 6 6
5.919098e+14 3.357926e+00 5.829891e+00 7.789484e-02 5.850636e+00 -3.545716e-03 1.331391e-02 6 6
8.150925e+14 3.650371e+00 6.521421e+00 1.273603e-01 6.690921e+00 -2.533282e-02 1.903480e-02 6 6
1.251970e+15 4.099428e+00 7.778017e+00 2.726499e-01 7.969773e+00 -2.406045e-02 3.421050e-02 6 6
5.703136e+13 1.806288e+00 2.143701e+00 1.399489e-02 2.104504e+00 1.862543e-02 6.649970e-03 6 7
6.191222e+13 1.837407e+00 2.184591e+00 8.446270e-03 2.190468e+00 -2.683011e-03 3.855920e-03 6 7
7.053137e+13 1.888398e+00 2.283751e+00 8.765838e-03 2.289040e+00 -2.310397e-03 3.829482e-03 6 7
8.123246e+13 1.945974e+00 2.396358e+00 9.022149e-03 2.402542e+00 -2.573705e-03 3.755252e-03 6 7
